Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,2019-12,2019-12,2020-01,2020-01,2020-01,2020-01,2020-01,2020-02,2020-02,2020-02,2020-02,2020-02,2020-03,2020-03,2020-03,2020-03,2020-03,2020-03,2020-04,2020-04,2020-04,2020-04,2020-04,2020-05,2020-05,2020-05,2020-05,2020-05,2020-06,2020-06,2020-06,2020-06,2020-06,2020-07,2020-07,2020-07,2020-07,2020-07,2020-08,2020-08,2020-08,2020-08,2020-08,2020-08,2020-09,2020-09,2020-09,2020-09,2020-09,2020-10,2020-10,2020-10,2020-10,2020-10,2020-11,2020-11,2020-11,2020-11,2020-11,2020-11,2020-12,2020-12,2020-12,2020-12,2020-12,2021-01
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,W52,W01,W01,W02,W03,W04,W05,W05,W06,W07,W08,W09,W09,W10,W11,W12,W13,W14,W14,W15,W16,W17,W18,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W27,W28,W29,W30,W31,W31,W32,W33,W34,W35,W36,W36,W37,W38,W39,W40,W40,W41,W42,W43,W44,W44,W45,W46,W47,W48,W49,W49,W50,W51,W52,W53,W53
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200728_V001,MF_W_20200728_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,071","1,239","1,260","1,323",168,"1,008","1,239","1,176","1,260",588,735,"1,155","1,092","1,092",924,,987,"1,302","1,176","1,239",168,"1,071","1,239",798,840,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200804_V001,MF_W_20200804_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,176","1,260","1,176",168,"1,071","1,155","1,092","1,407",504,504,"1,428","1,155","1,008",840,,924,"1,176","1,155","1,092",168,"1,008","1,092",819,840,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200811_V001,MF_W_20200811_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,176","1,176","1,176",168,"1,071","1,239","1,092","1,407",504,504,"1,344","1,155","1,008",840,,924,"1,176","1,155","1,092",168,"1,008","1,092",819,840,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200818_V001,MF_W_20200818_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,176","1,260",168,"1,071","1,155","1,092","1,407",504,504,"1,344","1,155","1,008",840,,924,"1,176","1,155","1,092",168,"1,008","1,092",819,840,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200825_V001,MF_W_20200825_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258","1,176",252,987,"1,239","1,176","1,239",588,504,"1,092","1,155","1,176","1,092",,924,"1,176","1,155","1,092",168,"1,008","1,092",819,840,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200901_V001,MF_W_20200901_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,336,987,"1,239","1,092","1,323",504,504,"1,092","1,155","1,176",756,,"1,092","1,176","1,239","1,092",168,"1,008","1,008",819,924,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200908_V001,MF_W_20200908_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,218","1,176","1,344",420,504,"1,092","1,008","1,344",735,,"1,176","1,008","1,155","1,176",168,"1,071","1,008",819,"1,008",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200915_V001,MF_W_20200915_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,155","1,428",420,504,"1,092","1,008","1,428",735,,"1,260",924,"1,155","1,176",168,"1,071","1,008",819,"1,008",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200922_V001,MF_W_20200922_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,344",504,420,"1,092","1,008","1,344",735,,"1,260",840,"1,239","1,176",168,"1,071","1,176",819,"1,008",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200929_V001,MF_W_20200929_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",672,252,"1,092","1,008","1,260",735,,"1,260",840,903,"1,176",168,"1,071","1,176",819,"1,008",,63
