Prev_Sale_8,Prev_Sale_7,Prev_Sale_6,Prev_Sale_5,Prev_Sale_4,Prev_Sale_3,Prev_Sale_2,Prev_Sale_1,Post_Sale_1,Post_Sale_2,Post_Sale_3,Post_Sale_4,Post_Sale_5,Post_Sale_6,Post_Sale_7,Post_Sale_8,Var_Sale_1,Var_Sale_2,Var_Sale_3,Var_Sale_4,Var_Sale_5,Var_Sale_6,Var_Sale_7,Var_Sale_8,YEAR,WW,Sales
924,1092,901,1176,1176,1323,1342,1176,1155,168,756,924,1176,1176,1092,1239,1176,1176,1260,1176,1092,1260,1260,1260,2020,50,819
1092,901,1176,1176,1323,1342,1176,819,168,756,924,1092,1176,1176,1155,1008,1155,1155,1155,1155,1239,1092,819,819,2020,51,903
901,1176,1176,1323,1342,1176,819,903,840,1008,1092,924,1176,1239,1008,1176,168,168,168,420,840,924,924,1092,2020,52,83
1176,1176,1323,1342,1176,819,903,83,1008,1092,924,1176,1239,1008,1176,1176,840,756,756,756,504,63,63,63,2020,53,1764
1176,1323,1342,1176,819,903,83,1764,1092,924,1176,1239,1008,1176,1176,1092,1008,1008,924,924,1092,1092,1092,924,2021,1,756
1323,1342,1176,819,903,83,1764,756,1008,1176,1239,1092,1176,1176,1176,1176,1092,1092,1092,1092,1176,1155,1155,1155,2021,2,1414
1342,1176,819,903,83,1764,756,1246,1176,1155,1260,1008,1092,1260,1176,1155,1008,924,924,924,1176,1176,1092,1092,2021,3,1092
1176,819,903,83,1764,756,1414,1092,1239,1008,1176,1092,1344,1176,1155,1344,1176,1176,1176,1176,1176,1176,1092,1092,2021,4,1176
819,903,83,1764,756,1414,1092,1176,1008,1176,1092,1260,1176,1239,1260,1239,1239,1155,1239,1239,1239,1239,1155,1239,2021,5,1155
903,83,1764,756,1414,1092,1176,1155,1176,1092,1260,1176,1176,1260,1176,-999,1008,1008,1260,1092,1008,1008,1008,1008,2021,6,924
83,1764,756,1414,1092,1176,1155,924,1092,1176,1176,1092,1260,1239,-999,-999,1176,1176,1176,1008,1176,1176,1176,1176,2021,7,1173
1764,756,1414,1092,1176,1155,924,1173,1092,1260,1176,1260,1407,-999,-999,-999,1092,1092,1092,1092,1092,1176,1176,1176,2021,8,840
756,1414,1092,1176,1155,924,1173,840,1260,1176,1260,1407,-999,-999,-999,-999,1092,1176,1260,1260,1344,1260,1176,1092,2021,9,1008
1414,1092,1176,1155,924,1173,840,1008,1176,1176,1239,-999,-999,-999,-999,-999,1260,1260,1176,1176,1176,1176,1176,1176,2021,10,1176
1092,1176,1155,924,1173,840,1008,1176,1176,1239,-999,-999,-999,-999,-999,-999,1176,1176,1176,1092,1176,1239,1155,1155,2021,11,1155
1176,1155,924,1173,840,1008,1176,1155,1239,-999,-999,-999,-999,-999,-999,-999,1176,1176,1260,1260,1260,1260,1260,1344,2021,12,1008
1155,924,1173,840,1092,1260,1155,1008,-999,-999,-999,-999,-999,-999,-999,-999,1239,1239,1239,1407,1407,1239,1176,1239,2021,13,1260
