WW,Date,tWW,QTY
201850,2018-12-10,201935,69400
201850,2018-12-10,201936,451100
201850,2018-12-10,201937,364350
201850,2018-12-10,201938,225550
201850,2018-12-10,201939,242900
201850,2018-12-10,201940,242900
201850,2018-12-10,201941,485800
201850,2018-12-10,201942,451100
201850,2018-12-10,201943,451100
201850,2018-12-10,201944,225550
201850,2018-12-10,201945,468450
201850,2018-12-10,201946,451100
201850,2018-12-10,201947,485800
201850,2018-12-10,201948,416400
201850,2018-12-10,201949,242900
201851,2018-12-17,201851,100
201851,2018-12-17,201901,87800
201851,2018-12-17,201902,120400
201851,2018-12-17,201905,104100
201851,2018-12-17,201906,138800
201851,2018-12-17,201910,225550
201851,2018-12-17,201911,52050
201851,2018-12-17,201914,121450
201851,2018-12-17,201915,242900
201851,2018-12-17,201916,17350
201851,2018-12-17,201919,17350
201851,2018-12-17,201920,225550
201851,2018-12-17,201921,242900
201851,2018-12-17,201923,242900
201851,2018-12-17,201924,225550
201851,2018-12-17,201925,52050
201851,2018-12-17,201927,242900
201851,2018-12-17,201928,225550
201851,2018-12-17,201929,225550
201851,2018-12-17,201932,208200
201851,2018-12-17,201933,242900
201851,2018-12-17,201934,138800
201851,2018-12-17,201935,69400
201851,2018-12-17,201936,451100
201851,2018-12-17,201937,364350
201851,2018-12-17,201938,225550
201851,2018-12-17,201939,242900
201851,2018-12-17,201940,242900
201851,2018-12-17,201941,485800
201851,2018-12-17,201942,451100
201851,2018-12-17,201943,451100
201851,2018-12-17,201944,225550
201851,2018-12-17,201945,468450
201851,2018-12-17,201946,451100
201851,2018-12-17,201947,485800
201851,2018-12-17,201948,416400
201851,2018-12-17,201949,242900
201851,2018-12-17,201950,225550
201852,2018-12-24,201852,100
201852,2018-12-24,201901,87800
201852,2018-12-24,201902,120400
201852,2018-12-24,201905,104100
201852,2018-12-24,201906,138800
201852,2018-12-24,201914,45037
201852,2018-12-24,201917,189120
201852,2018-12-24,201918,46181
201852,2018-12-24,201919,423775
201852,2018-12-24,201920,409296
201852,2018-12-24,201921,284040
201852,2018-12-24,201922,242886
201852,2018-12-24,201923,242886
201852,2018-12-24,201931,115437
201852,2018-12-24,201932,25646
201852,2018-12-24,201934,49183
201852,2018-12-24,201935,242886
201852,2018-12-24,201936,208188
