Plan Date,Date,QTY_x,QTY_y
201850,201916,17350.0,7
201850,201919,17350.0,7
201850,201920,225550.0,7
201850,201921,242900.0,7
201850,201923,242900.0,7
201850,201924,225550.0,7
201850,201925,52050.0,7
201850,201927,242900.0,7
201850,201928,225550.0,7
201850,201929,225550.0,7
201850,201932,208200.0,7
201850,201933,242900.0,7
201850,201934,138800.0,7
201850,201935,69400.0,2
201850,201936,451100.0,14
201850,201937,364350.0,14
201850,201938,225550.0,7
201850,201939,242900.0,7
201850,201940,242900.0,13
201850,201941,485800.0,14
201850,201942,451100.0,14
201850,201943,451100.0,14
201850,201944,225550.0,7
201850,201945,468450.0,14
201850,201946,451100.0,14
201850,201947,485800.0,14
201850,201948,416400.0,12
201850,201949,242900.0,7
201851,201851,100.0,1
201851,201901,87800.0,3
201851,201902,120400.0,4
201851,201905,104100.0,3
201851,201906,138800.0,7
201851,201910,225550.0,7
201851,201911,52050.0,7
201851,201914,121450.0,7
201851,201915,242900.0,7
201851,201916,17350.0,7
201851,201919,17350.0,7
201851,201920,225550.0,7
201851,201921,242900.0,7
201851,201923,242900.0,7
201851,201924,225550.0,7
201851,201925,52050.0,7
201851,201927,242900.0,7
201851,201928,225550.0,7
201851,201929,225550.0,7
201851,201932,208200.0,7
201851,201933,242900.0,7
201851,201934,138800.0,7
201851,201935,69400.0,2
201851,201936,451100.0,14
201851,201937,364350.0,14
201851,201938,225550.0,7
201851,201939,242900.0,7
201851,201940,242900.0,13
201851,201941,485800.0,14
201851,201942,451100.0,14
201851,201943,451100.0,14
201851,201944,225550.0,7
201851,201945,468450.0,14
201851,201946,451100.0,14
201851,201947,485800.0,14
201851,201948,416400.0,12
201851,201949,242900.0,7
201851,201950,225550.0,7
201852,201852,100.0,1
201852,201901,87800.0,3
201852,201902,120400.0,4
201852,201905,104100.0,3
201852,201906,138800.0,4
201852,201914,45037.673469387904,2
201852,201917,189123.5640687956,6
201852,201918,46183.135351612895,3
201852,201919,423783.7031131728,13
201852,201920,409304.4448383137,12
201852,201921,284046.5188357948,9
201852,201922,242891.5621998131,7
201852,201923,242891.56138841787,7
201852,201931,115440.3674125073,4
201852,201932,25646.5771985903,1
201852,201934,49183.965478239494,2
201852,201935,242891.560716335,7
201852,201936,208192.7670436787,6
201852,201937,242891.5608884587,7
201852,201938,242891.56064812728,7
201852,201939,242891.56069438637,7
201852,201940,208192.7666092946,6
201852,201941,242891.560930562,7
201852,201942,242891.5604119515,7
201852,201943,242891.56092943242,7
201852,201944,208192.76649455,6
201852,201945,242891.5604130812,7
201852,201946,242891.5608146877,7
201852,201947,242891.5608146877,7
201852,201948,242891.56081468367,7
201852,201949,242891.5604130854,7
201852,201950,242891.5608146876,7
201852,201951,234216.8617900176,7
201852,201952,1440198.74070977,1
201901,201901,87897.0,4
201901,201902,120400.0,4
201901,201905,104100.0,3
201901,201906,138800.0,4
201901,201910,100555.83871853209,3
201901,201911,128511.5694447335,4
201901,201914,136355.2179696514,5
201901,201915,177114.1697854511,6
201901,201917,86406.28222126419,3
201901,201918,149370.90588790033,6
201901,201919,338608.6652725077,10
201901,201920,409304.44483831356,12
201901,201921,346437.56240619434,11
201901,201922,242891.5621998131,7
201901,201923,242891.56138841787,7
201901,201932,189103.7665519224,6
201901,201933,52641.6061880175,2
201901,201935,208192.76710925362,6
201901,201936,208192.7665683144,6
201901,201937,242891.56129005871,7
201901,201938,242891.5609294324,7
