DIVISION_ID,PLAN_START_YYYYMMDD,PLAN_TYPE,SEQ,OPERATION_GROUP,SCM_SITE_ID,ITEM_ID,LINE_ID,OPERATION_ID,MEASURE,YYYYMMDD,WW,YYYYMM,QTY
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200514,20,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200515,20,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200516,20,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200517,21,202005,166
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200518,21,202005,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200519,21,202005,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200520,21,202005,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200521,21,202005,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200522,21,202005,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200523,21,202005,157
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200524,22,202005,158
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200525,22,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200526,22,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200527,22,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200528,22,202005,164
81,20200106,FN,1,P,G481-P,APVCCCMA0-A2-A01,P8Q06,P9500,PROD_PLAN_AMEND,20200529,22,202005,164
