Week,Product,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,Var_Product_9,Var_Product_10,Var_Product_11,Var_Product_12,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Post_Product_9,Post_Product_10,Post_Product_11,Post_Product_12,Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Prev_Product_9,Prev_Product_10,Prev_Product_11,Prev_Product_12
201919,492123.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17350.0,17350.0,17350.0,237900.0,69400.0,-999.0,242900.0,225550.0,52050.0,-999.0,244900.0,225550.0,34700.0,-999.0,-999.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0,402209.0,415634.0,428391.0,350956.0,272186.0,158314.0
201920,518349.0,237900.0,237900.0,237900.0,237900.0,237900.0,237900.0,-999.0,242900.0,242900.0,242900.0,225550.0,225550.0,90000.0,-999.0,242900.0,225550.0,52050.0,-999.0,242900.0,225550.0,34700.0,-999.0,-999.0,208200.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0,402209.0,415634.0,428391.0,350956.0,272186.0
201921,385555.0,90000.0,69400.0,69400.0,69400.0,69400.0,69400.0,69400.0,69400.0,69400.0,69400.0,242900.0,242900.0,33700.0,242900.0,225550.0,-999.0,-999.0,244900.0,225550.0,34700.0,-999.0,-999.0,208200.0,242900.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0,402209.0,415634.0,428391.0,350956.0
201922,452653.0,33700.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,242900.0,225550.0,-999.0,-999.0,244900.0,225550.0,34700.0,112462.0,116787.0,112462.0,116787.0,112462.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0,402209.0,415634.0,428391.0
201923,439919.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,242900.0,225550.0,-999.0,-999.0,242900.0,225550.0,34700.0,-999.0,-999.0,208200.0,242900.0,138800.0,34700.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0,402209.0,415634.0
201924,450931.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,-999.0,-999.0,199500.0,185250.0,28500.0,-999.0,-999.0,188500.0,203000.0,116000.0,29500.0,191750.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0,402209.0
201925,339023.0,-999.0,-999.0,-999.0,-999.0,52050.0,52050.0,52050.0,52050.0,52050.0,52050.0,52050.0,52050.0,-999.0,210000.0,195000.0,210000.0,-999.0,-999.0,201500.0,203000.0,-999.0,29500.0,191750.0,206500.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0,377083.0
201926,530333.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,199500.0,185250.0,199500.0,-999.0,-999.0,188500.0,203000.0,-999.0,29500.0,191750.0,206500.0,191750.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0,337346.0
201927,440134.0,199500.0,210000.0,199500.0,242900.0,244900.0,244900.0,242900.0,244900.0,244900.0,244900.0,244900.0,244900.0,50000.0,-999.0,-999.0,116000.0,188500.0,203000.0,188500.0,29500.0,191750.0,206500.0,191750.0,-999.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0,429497.0
201928,427594.0,50000.0,185250.0,195000.0,185250.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,225550.0,-999.0,-999.0,116000.0,190500.0,203000.0,188500.0,58500.0,191750.0,206500.0,191750.0,-999.0,165000.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0,434224.0
201929,392700.0,-999.0,-999.0,199500.0,210000.0,28500.0,34700.0,34700.0,34700.0,34700.0,34700.0,34700.0,34700.0,185250.0,85500.0,2000.0,116000.0,188500.0,29500.0,191750.0,206500.0,191750.0,-999.0,165000.0,210000.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0,419160.0
201930,532017.0,185250.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,112462.0,-999.0,-999.0,-999.0,-999.0,85500.0,2000.0,116000.0,188500.0,29500.0,191750.0,206500.0,191750.0,-999.0,165000.0,210000.0,195000.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0,427896.0
201931,534653.0,85500.0,85500.0,116000.0,116000.0,-999.0,-999.0,-999.0,-999.0,116787.0,-999.0,-999.0,-999.0,-999.0,-999.0,192500.0,203500.0,191750.0,206500.0,191750.0,-999.0,165000.0,210000.0,195000.0,210000.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0,492123.0
201932,399134.0,-999.0,2000.0,2000.0,190500.0,188500.0,188500.0,201500.0,188500.0,208200.0,112462.0,208200.0,208200.0,29000.0,192500.0,203500.0,191750.0,206500.0,191750.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0,518349.0
201933,535992.0,29000.0,-999.0,116000.0,116000.0,203000.0,203000.0,203000.0,203000.0,203000.0,242900.0,116787.0,242900.0,192500.0,203500.0,191750.0,206500.0,191750.0,-999.0,165000.0,210000.0,195000.0,210000.0,196250.0,213500.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0,385555.0
201934,465629.0,192500.0,192500.0,192500.0,188500.0,188500.0,188500.0,188500.0,-999.0,-999.0,116000.0,138800.0,112462.0,203500.0,191750.0,206500.0,191750.0,-999.0,165000.0,210000.0,195000.0,210000.0,196250.0,213500.0,198250.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0,452653.0
201935,377700.0,203500.0,203500.0,203500.0,203500.0,29500.0,29500.0,58500.0,29500.0,29500.0,29500.0,29500.0,34700.0,191750.0,206500.0,-999.0,-999.0,165000.0,210000.0,195000.0,210000.0,196250.0,213500.0,198250.0,213500.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0,439919.0
201936,444339.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,208500.0,-999.0,-999.0,165000.0,210000.0,195000.0,210000.0,200250.0,213500.0,198250.0,213500.0,-999.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0,450931.0
201937,479100.0,208500.0,206500.0,206500.0,206500.0,206500.0,206500.0,206500.0,206500.0,206500.0,206500.0,206500.0,206500.0,50000.0,-999.0,135000.0,210000.0,195000.0,210000.0,196000.0,213500.0,198250.0,213500.0,-999.0,217000.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0,339023.0
201938,409574.0,50000.0,-999.0,-999.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,191750.0,-999.0,-999.0,-999.0,195000.0,210000.0,196500.0,213500.0,-999.0,-999.0,-999.0,217000.0,201500.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0,530333.0
201939,308745.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,90000.0,195000.0,210000.0,196500.0,213500.0,-999.0,-999.0,198250.0,213500.0,198250.0,213500.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0,440134.0
201940,287308.0,-999.0,-999.0,135000.0,165000.0,165000.0,165000.0,165000.0,-999.0,165000.0,165000.0,165000.0,165000.0,-999.0,195000.0,210000.0,196500.0,213500.0,-999.0,-999.0,198250.0,213500.0,198250.0,213500.0,76250.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0,427594.0
201941,439265.0,-999.0,90000.0,-999.0,210000.0,210000.0,210000.0,210000.0,210000.0,-999.0,210000.0,210000.0,210000.0,195000.0,210000.0,188900.0,183000.0,-999.0,-999.0,205900.0,213500.0,198250.0,213500.0,76250.0,214500.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0,392700.0
201942,394547.0,195000.0,195000.0,195000.0,195000.0,195000.0,195000.0,195000.0,195000.0,195000.0,-999.0,195000.0,195000.0,210000.0,188900.0,183000.0,2000.0,-999.0,205900.0,213500.0,205900.0,213500.0,122000.0,214500.0,199550.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0,532017.0
201943,367032.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,210000.0,-999.0,210000.0,217000.0,192000.0,2000.0,-999.0,231000.0,231000.0,231000.0,213500.0,122000.0,215000.0,199550.0,242900.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0,534653.0
201944,374680.0,217000.0,188900.0,188900.0,196500.0,196500.0,196500.0,196000.0,200250.0,196250.0,196250.0,196250.0,-999.0,183000.0,2000.0,-999.0,206000.0,206000.0,206000.0,213500.0,122000.0,215000.0,199550.0,238900.0,259550.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0,399134.0
201945,427092.0,183000.0,192000.0,183000.0,183000.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,213500.0,116500.0,-999.0,114500.0,206000.0,206000.0,213500.0,122000.0,217000.0,199550.0,238900.0,259550.0,336000.0,374680.0,367032.0,394547.0,439265.0,287308.0,308745.0,409574.0,479100.0,444339.0,377700.0,465629.0,535992.0
