Week,Inven,Prev_Inven_1,Prev_Inven_2,Prev_Inven_3,Prev_Inven_4,Prev_Inven_5,Prev_Inven_6,Prev_Inven_7,Prev_Inven_8,Sale,Var_Sale_1,Var_Sale_2,Var_Sale_3,Var_Sale_4,Var_Sale_5,Var_Sale_6,Var_Sale_7,Var_Sale_8,Var_Sale_9,Var_Sale_10,Var_Sale_11,Var_Sale_12,Post_Sale_1,Post_Sale_2,Post_Sale_3,Post_Sale_4,Post_Sale_5,Post_Sale_6,Post_Sale_7,Post_Sale_8,Post_Sale_9,Post_Sale_10,Post_Sale_11,Post_Sale_12,Prev_Sale_1,Prev_Sale_2,Prev_Sale_3,Prev_Sale_4,Prev_Sale_5,Prev_Sale_6,Prev_Sale_7,Prev_Sale_8,Prev_Sale_9,Prev_Sale_10,Prev_Sale_11,Prev_Sale_12,Product,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,Var_Product_9,Var_Product_10,Var_Product_11,Var_Product_12,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Post_Product_9,Post_Product_10,Post_Product_11,Post_Product_12,Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Prev_Product_9,Prev_Product_10,Prev_Product_11,Prev_Product_12
202025,792419.0,480729.0,566767.0,758574.0,904876.0,1085768.0,1190996.0,1149134.0,1139028.0,211674.0,211680.0,211680.0,211680.0,211680.0,211680.0,211680.0,317520.0,302400.0,302400.0,347760.0,347760.0,365904.0,241920.0,272160.0,302400.0,302400.0,317520.0,381024.0,378000.0,408240.0,393120.0,181440.0,453600.0,483840.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,57456.0,117180.0,90720.0,45360.0,70686.0,115975.0,345057.0,202500.0,202500.0,202500.0,202500.0,282000.0,304000.0,195000.0,332000.0,377000.0,182000.0,388125.0,590625.0,339000.0,339150.0,328140.0,331500.0,331500.0,331500.0,376300.0,382200.0,382200.0,384800.0,401325.0,514125.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0,427288.0,215542.0,447355.0,465186.0,417985.0,422217.0
202026,759334.0,792419.0,480729.0,566767.0,758574.0,904876.0,1085768.0,1190996.0,1149134.0,136080.0,241920.0,241920.0,241920.0,196560.0,196560.0,196560.0,196560.0,347760.0,393120.0,393120.0,393120.0,393120.0,272160.0,302400.0,302400.0,317520.0,381024.0,378000.0,408240.0,393120.0,226800.0,453600.0,483840.0,529200.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,57456.0,117180.0,90720.0,45360.0,70686.0,379823.0,339000.0,202650.0,202500.0,202500.0,202500.0,180000.0,390750.0,-999.0,334600.0,379600.0,438600.0,593325.0,348150.0,351000.0,329140.0,364000.0,377000.0,382200.0,382200.0,382200.0,384800.0,401325.0,604125.0,604125.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0,427288.0,215542.0,447355.0,465186.0,417985.0
202027,810006.0,759334.0,792419.0,480729.0,566767.0,758574.0,904876.0,1085768.0,1190996.0,181440.0,272160.0,272160.0,272160.0,196560.0,166320.0,166320.0,166320.0,151200.0,362880.0,378000.0,378000.0,378000.0,302400.0,302400.0,317520.0,381024.0,378000.0,408240.0,393120.0,226800.0,453600.0,483840.0,529200.0,544320.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,57456.0,117180.0,90720.0,45360.0,465272.0,348150.0,339150.0,204500.0,202500.0,202500.0,202500.0,180000.0,150000.0,150000.0,336400.0,378150.0,528150.0,321150.0,362015.0,364000.0,377000.0,382200.0,382200.0,382200.0,384800.0,401325.0,604125.0,604125.0,604125.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0,427288.0,215542.0,447355.0,465186.0
202028,978672.0,810006.0,759334.0,792419.0,480729.0,566767.0,758574.0,904876.0,1085768.0,0.0,302400.0,302400.0,302400.0,302400.0,196560.0,196560.0,196560.0,196560.0,196560.0,378000.0,393120.0,393120.0,347760.0,347760.0,371952.0,378000.0,408240.0,393120.0,226800.0,453600.0,483840.0,529200.0,544320.0,514080.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,57456.0,117180.0,90720.0,404513.0,321150.0,351000.0,328140.0,191640.0,202500.0,187140.0,138000.0,195000.0,195000.0,195000.0,573950.0,382200.0,357000.0,364150.0,377000.0,187200.0,382200.0,382200.0,384800.0,401325.0,604125.0,604125.0,604125.0,604125.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0,427288.0,215542.0,447355.0
202029,1377406.0,978672.0,810006.0,759334.0,792419.0,480729.0,566767.0,758574.0,904876.0,257040.0,347760.0,302400.0,302400.0,302400.0,302400.0,226800.0,226800.0,226800.0,226800.0,241920.0,408240.0,438480.0,347760.0,374452.0,378000.0,408240.0,393120.0,226800.0,453600.0,483840.0,529200.0,544320.0,514080.0,544320.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,57456.0,117180.0,292671.0,357000.0,362015.0,329140.0,331500.0,202500.0,334500.0,339000.0,339000.0,195000.0,195000.0,195000.0,573950.0,366650.0,375000.0,187200.0,187200.0,382200.0,384800.0,401325.0,319125.0,604125.0,604125.0,604125.0,604125.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0,427288.0,215542.0
202030,1337419.0,1377406.0,978672.0,810006.0,759334.0,792419.0,480729.0,566767.0,758574.0,241481.0,347760.0,347760.0,317520.0,317520.0,317520.0,317520.0,136080.0,136080.0,136080.0,136080.0,136080.0,181440.0,395620.0,326592.0,287280.0,317520.0,317520.0,347760.0,347760.0,423360.0,423360.0,362880.0,438480.0,468720.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,57456.0,286525.0,366650.0,364150.0,364000.0,364000.0,331500.0,202500.0,334500.0,339000.0,339000.0,382200.0,382200.0,441200.0,-999.0,187200.0,187200.0,187200.0,189800.0,198825.0,199125.0,401625.0,604125.0,604125.0,604125.0,259125.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0,427288.0
202031,1718919.0,1337419.0,1377406.0,978672.0,810006.0,759334.0,792419.0,480729.0,566767.0,90720.0,395620.0,374452.0,371952.0,381024.0,381024.0,381024.0,381024.0,281232.0,281232.0,281232.0,241920.0,226800.0,326592.0,287280.0,317520.0,317520.0,347760.0,347760.0,423360.0,423360.0,362880.0,438480.0,468720.0,468720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,146219.0,372505.0,-999.0,375000.0,377000.0,377000.0,377000.0,331500.0,202500.0,339000.0,339000.0,427500.0,470700.0,470700.0,382200.0,187200.0,187200.0,190550.0,198825.0,199125.0,281625.0,401625.0,604125.0,401625.0,401625.0,401625.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0,207258.0
202032,1495400.0,1718919.0,1337419.0,1377406.0,978672.0,810006.0,759334.0,792419.0,480729.0,241920.0,326592.0,326592.0,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0,347040.0,347040.0,347040.0,386352.0,287280.0,311472.0,317520.0,332640.0,347760.0,423360.0,423360.0,362880.0,438480.0,468720.0,468720.0,438480.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,75351.0,377969.0,382200.0,187200.0,187200.0,187200.0,382200.0,382200.0,376300.0,389700.0,339000.0,530750.0,486500.0,529700.0,332000.0,182000.0,182750.0,196825.0,199125.0,281625.0,524.7023655914,-999.0,-999.0,-999.0,-999.0,-999.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0,155423.0
202033,1469015.0,1495400.0,1718919.0,1337419.0,1377406.0,978672.0,810006.0,759334.0,792419.0,226800.0,287280.0,287280.0,287280.0,408240.0,408240.0,408240.0,408240.0,408240.0,408240.0,362160.0,362160.0,362160.0,235872.0,196560.0,272160.0,257040.0,272160.0,287280.0,317520.0,317520.0,332640.0,378000.0,347760.0,241920.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,105327.0,470312.0,332000.0,187200.0,187200.0,187200.0,382200.0,382200.0,382200.0,382200.0,389700.0,339000.0,501250.0,486500.0,182000.0,182751.0,196825.0,199125.0,199125.0,199125.0,401625.0,401625.0,199125.0,199125.0,199125.0,199125.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0,160729.0
202034,1196491.0,1469015.0,1495400.0,1718919.0,1337419.0,1377406.0,978672.0,810006.0,759334.0,161406.0,235872.0,311472.0,317520.0,317520.0,393120.0,393120.0,393120.0,393120.0,393120.0,393120.0,362160.0,362160.0,196560.0,272160.0,257040.0,272160.0,287280.0,317520.0,317520.0,332640.0,378000.0,347760.0,241920.0,226800.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,332262.0,506974.0,182000.0,182000.0,187200.0,187200.0,382200.0,382200.0,382200.0,382200.0,382200.0,389700.0,339000.0,339000.0,182750.0,196825.0,199125.0,199125.0,199125.0,401625.0,401625.0,199125.0,199125.0,199125.0,199125.0,199125.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0,149811.0
202035,1180821.0,1196491.0,1469015.0,1495400.0,1718919.0,1337419.0,1377406.0,978672.0,810006.0,166320.0,196560.0,196560.0,317520.0,317520.0,317520.0,226800.0,226800.0,226800.0,226800.0,181440.0,181440.0,377280.0,257040.0,257040.0,272160.0,287280.0,317520.0,317520.0,332640.0,378000.0,347760.0,241920.0,226800.0,199849.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,30240.0,369610.0,182750.0,182751.0,182750.0,190550.0,189800.0,384800.0,384800.0,384800.0,384800.0,384800.0,392300.0,400000.0,196825.0,199125.0,199125.0,199125.0,401625.0,403625.0,319125.0,199125.0,199125.0,199125.0,199125.0,199125.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0,337427.0
202036,1090456.0,1180821.0,1196491.0,1469015.0,1495400.0,1718919.0,1337419.0,1377406.0,978672.0,136080.0,257040.0,272160.0,272160.0,332640.0,347760.0,347760.0,453600.0,453600.0,453600.0,453600.0,453600.0,453600.0,257040.0,272160.0,302400.0,257040.0,317520.0,332640.0,378000.0,347760.0,241920.0,226800.0,199849.0,257040.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,90339.0,367447.0,196825.0,196825.0,196825.0,196825.0,198825.0,198825.0,401325.0,401325.0,401325.0,401325.0,401325.0,401325.0,199125.0,199125.0,199125.0,401625.0,285625.0,319125.0,199125.0,199125.0,199125.0,319125.0,199125.0,199125.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0,373704.0
202037,1258671.0,1090456.0,1180821.0,1196491.0,1469015.0,1495400.0,1718919.0,1337419.0,1377406.0,241920.0,257040.0,257040.0,257040.0,257040.0,347760.0,347760.0,347760.0,483840.0,483840.0,483840.0,483840.0,483840.0,272160.0,302400.0,257040.0,317520.0,332640.0,378000.0,347760.0,241920.0,226800.0,199849.0,257040.0,317520.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,211674.0,451315.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,319125.0,604125.0,604125.0,604125.0,514125.0,199725.0,199125.0,199125.0,283625.0,401625.0,199125.0,199125.0,199125.0,401625.0,289125.0,199125.0,199125.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0,345057.0
202038,1226898.0,1258671.0,1090456.0,1180821.0,1196491.0,1469015.0,1495400.0,1718919.0,1337419.0,211680.0,272160.0,272160.0,272160.0,272160.0,272160.0,423360.0,423360.0,423360.0,529200.0,529200.0,529200.0,529200.0,302400.0,208656.0,317520.0,332640.0,378000.0,347760.0,241920.0,226800.0,199849.0,257040.0,317520.0,287280.0,241920.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,136080.0,561741.0,199725.0,199125.0,199125.0,199125.0,199125.0,281625.0,281625.0,401625.0,604125.0,604125.0,604125.0,604125.0,199125.0,199125.0,283625.0,401625.0,199125.0,199125.0,199125.0,401625.0,289125.0,199125.0,199125.0,199125.0,451315.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0,379823.0
202039,1113505.0,1226898.0,1258671.0,1090456.0,1180821.0,1196491.0,1469015.0,1495400.0,1718919.0,226796.0,302400.0,302400.0,302400.0,287280.0,287280.0,287280.0,423360.0,423360.0,423360.0,544320.0,544320.0,544320.0,272160.0,272160.0,272160.0,302400.0,257040.0,196560.0,226800.0,211680.0,226800.0,272160.0,257040.0,241920.0,211680.0,241920.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,181440.0,513848.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,524.7023655914,401625.0,604125.0,604125.0,604125.0,604125.0,199125.0,201125.0,319125.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,561741.0,451315.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0,465272.0
202040,1060733.0,1113505.0,1226898.0,1258671.0,1090456.0,1180821.0,1196491.0,1469015.0,1495400.0,211676.0,272160.0,208656.0,257040.0,257040.0,317520.0,317520.0,317520.0,362880.0,362880.0,362880.0,514080.0,514080.0,272160.0,287280.0,302400.0,317520.0,317520.0,332640.0,332640.0,393120.0,408240.0,151200.0,226800.0,0.0,226796.0,211680.0,241920.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,0.0,329792.0,199125.0,199125.0,199125.0,401625.0,401625.0,401625.0,401625.0,-999.0,604125.0,604125.0,604125.0,604125.0,202500.0,322500.0,202500.0,202500.0,202500.0,202500.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,513848.0,561741.0,451315.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0,404513.0
202041,1055171.0,1060733.0,1113505.0,1226898.0,1258671.0,1090456.0,1180821.0,1196491.0,1469015.0,287280.0,272160.0,272160.0,317520.0,317520.0,317520.0,317520.0,317520.0,317520.0,438480.0,438480.0,438480.0,544320.0,287280.0,302400.0,317520.0,317520.0,332640.0,332640.0,393120.0,408240.0,151200.0,226800.0,0.0,0.0,211676.0,226796.0,211680.0,241920.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,257040.0,443077.0,202500.0,201125.0,283625.0,283625.0,285625.0,403625.0,401625.0,401625.0,-999.0,401625.0,604125.0,604125.0,405375.0,300375.0,247125.0,247125.0,293125.0,536625.0,536625.0,234125.0,51625.0,-999.0,-999.0,401625.0,329792.0,513848.0,561741.0,451315.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0,292671.0
202042,872758.0,1055171.0,1060733.0,1113505.0,1226898.0,1258671.0,1090456.0,1180821.0,1196491.0,272160.0,287280.0,287280.0,272160.0,332640.0,332640.0,332640.0,332640.0,332640.0,332640.0,468720.0,468720.0,468720.0,302400.0,332640.0,317520.0,241920.0,287280.0,272160.0,544320.0,279480.0,226800.0,0.0,0.0,295218.0,287280.0,211676.0,226796.0,211680.0,241920.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,241481.0,476222.0,405375.0,322500.0,319125.0,401625.0,401625.0,319125.0,319125.0,199125.0,199125.0,-999.0,401625.0,259125.0,300375.0,247125.0,247125.0,293125.0,536625.0,536625.0,234125.0,51625.0,-999.0,-999.0,401625.0,202500.0,443077.0,329792.0,513848.0,561741.0,451315.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0,286525.0
202043,615322.0,872758.0,1055171.0,1060733.0,1113505.0,1226898.0,1258671.0,1090456.0,1180821.0,166314.0,302400.0,302400.0,302400.0,302400.0,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0,468720.0,468720.0,332640.0,317520.0,241920.0,287280.0,272160.0,544320.0,279480.0,226800.0,0.0,0.0,295218.0,295218.0,272160.0,287280.0,211676.0,226796.0,211680.0,241920.0,136080.0,166320.0,161406.0,226800.0,241920.0,90720.0,498645.0,300375.0,300375.0,202500.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,199125.0,-999.0,401625.0,247125.0,247125.0,293125.0,536625.0,536625.0,234125.0,199125.0,199125.0,110625.0,199125.0,390000.0,390000.0,476222.0,443077.0,329792.0,513848.0,561741.0,451315.0,367447.0,369610.0,506974.0,470312.0,377969.0,372505.0
